Nombre,Código,Departamento,Provincia,Municipio,Asiento,Zona,Longitud,Latitud
Escuela Industrial Superior Pedro Domingo Murillo,2-0729-00101,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Achachicala,-68.151419,-16.475664
U. E. Luis Ernest CBN A,2-0729-00102,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Achachicala,-68.151791,-16.466595
U. E. Litoral A,2-0729-00103,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Achachicala,-68.150682,-16.473311
Sede Social Plan Autopista,2-0729-00104,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Plan Autopista,-68.14625,-16.45818
U. E. 10 de Junio,2-0729-00105,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Limanipata,-68.144196,-16.441999
U. E. Abraham Lincoln,2-0729-00201,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa 18 de Mayo,-68.146633,-16.478443
U. E. John Fitzgerald Kennedy,2-0729-00202,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Achachicala,-68.151428,-16.476801
U. E. Nicolás Fernandez Naranjo,2-0729-00204,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Vino Tinto,-68.140427,-16.4834
U. E. Sergio Suarez Figueroa,2-0729-00205,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa de La Cruz,-68.13206,-16.48701
U. E. Americana,2-0729-00302,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Zona Norte,-68.13226,-16.493193
U.E. Natalia Palacios,2-0729-00303,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Agua de La Vida,-68.131437,-16.494292
U. E. San Simón de Ayacucho A,2-0729-00304,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Central,-68.134283,-16.494289
U. E. Nuestra Señora de La Paz II,2-0729-00305,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Zona Norte,-68.135282,-16.49128
U. E. Santa Ana II,2-0729-00308,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Central,-68.131499,-16.496721
U.E. Hugo Dávila A,2-0729-00401,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores,-68.119356,-16.499304
Dirección Departamental de Educación La Paz,2-0729-00402,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Santa Barbara,-68.12583,-16.49939
U.E. Miguel de Cervantes Saavedra,2-0729-00403,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores,-68.122732,-16.492314
U.E. República de Panamá,2-0729-00404,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores,-68.124861,-16.494739
E.S.F.M.E.F.D. Antonio José de Sucre,2-0729-00405,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores Sur,-68.1189,-16.504159
U.E. Felipe Segundo Guzman,2-0729-00407,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores Sur,-68.121074,-16.505905
U.E. Emeterio Villamil de Rada,2-0729-00408,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores Sur,-68.122817,-16.503005
U.E. Alfredo Vargas B,2-0729-00504,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores Alto,-68.124898,-16.482856
Instituto Tecnológico Ayacucho,2-0729-00505,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Miraflores,-68.121565,-16.485419
U.E.  Adolfo  Costa Du Rels,2-0729-00506,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Cupilupaca,-68.129746,-16.482757
U.E.  Pablo Iturri Jurado B,2-0729-00601,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Chuquiaguillo,-68.102714,-16.459642
Complejo Deportivo Camiri,2-0729-00602,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Barrio Petrolero,-68.117219,-16.478695
U.E.  Simón Rodriguez Carreño,2-0729-00603,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa Fátima,-68.1213,-16.4755
U. E. Ave María Fundación Manos Abiertas Virgen de la Natividad,2-0729-00604,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa Fátima,-68.117442,-16.474378
U.E.  La Merced B,2-0729-00607,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,La Merced,-68.118793,-16.466006
U.E.  Irene Nava de Castillo B,2-0729-00608,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa El Carmen,-68.113229,-16.467836
U.E. Copacabana C,2-0729-00701,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa Copacabana,-68.116452,-16.491357
U.E. Cristiano Vida Nueva,2-0729-00702,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa Copacabana,-68.11804,-16.489076
U.E.  Cristo Rey,2-0729-00703,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Villa Copacabana,-68.11716,-16.49006
U.E.  Genoveva Ríos,2-0729-00801,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,San Antonio,-68.107881,-16.501395
U.E. Gral. José de San Martin,2-0729-00802,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,San Antonio,-68.116041,-16.497949
Sede Junta Vecinal San Antonio,2-0729-00805,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,San Antonio,-68.115386,-16.50085
U.E. San Antonio Fe y Alegría,2-0729-00807,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,San Antonio,-68.1117,-16.4992
U.E. Caracas A,2-0729-00808,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Escobar Uría,-68.109412,-16.491917
U.E. Topater,2-0729-00901,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Pampahasi,-68.104054,-16.491818
U.E. Don Bosco de Pampahasi A,2-0729-00902,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Pampahasi,-68.101907,-16.50016
U.E. Jerusalem,2-0729-00903,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Pampahasi,-68.10326,-16.501848
U.E. Delia Gambarte de Quezada A,2-0729-00904,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,Pampahasi,-68.102079,-16.505603
